kunci,indonesia,english
judul,Beda Nasib Pers Australia-Indonesia,The Contrasting Fortunes of the Australian and Indonesian Press
link_berita,https://contoh.com/artikel,https://example.com/article
nama_reporter,Irene Sarwindaningrum,Irene Sarwindaningrum
profil_penulis,"Irene Sarwindaningrum adalah jurnalis yang meliput isu media, kebijakan publik, dan masyarakat.","Irene Sarwindaningrum is a journalist covering media, public policy, and society."
cara_peliputan,"Wawancara langsung dan pengamatan lapangan.","Direct interviews and field observation."
metode_verifikasi,"Memeriksa dokumen primer dan data lembaga resmi.","Reviewing primary documents and data from official institutions."
contoh_tulisan_1_judul,Judul contoh tulisan pertama,Title of the first writing sample
contoh_tulisan_1_link,https://contoh.com/tulisan-1,https://example.com/article-1
contoh_tulisan_2_judul,Judul contoh tulisan kedua,Title of the second writing sample
contoh_tulisan_2_link,https://contoh.com/tulisan-2,https://example.com/article-2
